course_id,title,sec_id,last_name,first_name,room_num,days,start_hr,start_min,end_hr,end_min
STAT 121,Introduction to Statistics for the Social Sciences,1,Adragni,Kofi,ITE 102,YNYNNNN,14,30,15,45
AFST 206,Introduction to African-American History: A Survey,1,Turner,Damon,SHER006,YNYNYNN,9,0,9,50
AMST 100,Introduction to American Studies,2,Bryan,Kathy,PAHB108,YNYNYNN,9,0,9,50
AMST 100Y,Introduction to American Studies,1,Bryan,Kathy,PAHB108,YNYNYNN,9,0,9,50
AMST 200,What is an American?,1,Gorman,Ellen,FA  427,YNYNYNN,9,0,9,50
CHEM 302,Physical Chemistry II,1,Kelly,Lisa,ITE 102,YNYNYNN,9,0,9,50
CHEM 351,Organic Chemistry I,1,Perks,Harry,LH1 101,YNYNYNN,9,0,9,50
CHEM 352,Organic Chemistry II,1,Gierasch,Tiffany,ITE 104,YNYNYNN,9,0,9,50
CMPE 349,Introduction to Professional Practice,1,LaBerge,E,FA  215,YNYNYNN,9,0,9,50
ECON 101,Principles of Microeconomics,1,Palmateer,Jason,SHER003,YNYNYNN,9,0,9,50
ECON 102,Principles of Macroeconomics,1,Dasgupta,Nandita,SOND103,YNYNYNN,9,0,9,50
ECON 121,Principles of Accounting I,1,Antlitz,Ronald,PUP 206,YNYNYNN,9,0,9,50
ELC 42,Reading and Vocabulary for Academic Purposes, Leve,1,Hsu,Rosemary,UC  201A,YNYNYNN,9,0,9,50
ELC 52,Advanced Reading and Vocabulary for Academic Purpo,1,Milter,Katalin,UC  201B,YNYNYNN,9,0,9,50
ENME 304,Machine Design,1,Rothman,Neil,PAHB132,YNYNYNN,9,0,9,50
FREN 101,Elementary French I,1,Barnetzke,Zachary,SHER210,YNYNYNN,9,0,9,50
FREN 102,Elementary French II,1,Bengochea-Cohen,Anne,SOND105,YNYNYNN,9,0,9,50
FREN 103,Intensive Review of Elementary French,1,El Omari,Samir,SOND114,YNYNYNN,9,0,9,50
HIST 111,Western Civilization 1700 to the Present,1,Grubb,James,FA  306,YNYNYNN,9,0,9,50
HIST 111Y,Western Civilization 1700 to the Present,1,Grubb,James,FA  306,YNYNYNN,9,0,9,50
HIST 218,Introduction to African-American History: A Survey,1,Turner,Damon,SHER006,YNYNYNN,9,0,9,50
MUSC 111,Musicianship Laboratory II,2,Crossland,James,PAHB141,YNYNYNN,9,0,9,50
PHIL 100,Introduction to Philosophy,1,Thomas,James,ENGR022,YNYNYNN,9,0,9,50
PHIL 146,Critical Thinking,1,Bridges,Andrew,PAHB107,YNYNYNN,9,0,9,50
PHYS 105,Ideas in Astronomy,1,George,Ian,SHER145,YNYNYNN,9,0,9,50
PHYS 121,Introductory Physics I,1,Cui,Lili,MEYR030,YNYNYNN,9,0,9,50
PHYS 121H,Introductory Physics I - Honors,1,Cui,Lili,MEYR030,YNYNYNN,9,0,9,50
PHYS 304,Fundamentals of Astronomy and Astrophysics,1,Turner,Tracey,PHYS201,YNYNYNN,9,0,9,50
PHYS 408,Optics,1,Zhai,Pengwang,MP  103,YNYNYNN,9,0,9,50
SPAN 103,Intensive Review of Elementary Spanish,1,Rodriguez,Diana,SOND205,YNYNYNN,9,0,9,50
SPAN 201,Intermediate Spanish I,1,Hernandez,Milvia,SOND203,YNYNYNN,9,0,9,50
AFST 211,Introduction to Contemporary Africa,1,Okoro,Sussie,FA  001,NYNYNNN,13,0,14,15
AFST 255,Psychology of the Black Experience in the United S,1,Robinson Jr.,Thomas,SOND207,NYNYNNN,13,0,14,15
AFST 495,Field Research in Africana Studies,1,MacDougall,Elaine,SOND101,NYNYNNN,13,0,14,15
ANCS 375,Ancient Medicine,1,Jones-Lewis,Molly,ITE 231,NYNYNNN,13,0,14,15
ANTH 214,Focused Cultural Study: South Asia,1,Chapin,Bambi,SOND107,NYNYNNN,13,0,14,15
ANTH 397,Selected Topics in Anthropology,1,Rubinstein,Robert,PUP 208,NYNYNNN,13,0,14,15
ART 329,Topics in Art History and Visual Culture,1,Stevens,Jason,FA  107,NYNYNNN,13,0,14,15
ART 429,Seminar in Art History & Visual Culture,1,Stevens,Jason,FA  107,NYNYNNN,13,0,14,15
ASIA 214,Focused Cultural Study: South Asia,1,Chapin,Bambi,SOND107,NYNYNNN,13,0,14,15
BIOL 252,Human Anatomy and Physiology II,1,Fleischmann,Esther,LH1 101,NYNYNNN,13,0,14,15
BIOL 302,Molecular and General Genetics,1,Bieberich,Charles,MEYR030,NYNYNNN,13,0,14,15
CHIN 319,Chinese Translation,1,Brown,William,ITE 239,NYNYNNN,13,0,14,15
